# ECG Data Recording
# Format: sample_number,time(s),voltage(V)
# Sample rate: ~200 Hz
# Target duration: 10 seconds
1044,7.382044,1.870000
1045,7.389138,1.336000
1046,7.396238,1.566000
1047,7.403332,1.838000
1048,7.410425,1.300000
1049,7.417517,1.736000
1050,7.424608,1.742000
1051,7.431704,1.270000
1052,7.438812,1.876000
1053,7.445982,1.600000
1054,7.453113,1.258000
1055,7.460232,1.926000
1056,7.467328,1.460000
1057,7.474424,1.332000
1058,7.481520,1.906000
1059,7.488620,1.370000
1060,7.495809,1.516000
1061,7.502947,1.850000
1062,7.510057,1.306000
1063,7.517158,1.702000
1064,7.524255,1.792000
1065,7.531343,1.358000
1066,7.538450,2.028000
1067,7.545546,1.898000
1068,7.552639,1.484000
1069,7.559730,2.024000
1070,7.566822,1.460000
1071,7.573913,1.132000
1072,7.581009,1.740000
1073,7.588101,1.258000
1074,7.595193,1.344000
1075,7.602284,1.826000
1076,7.609380,1.314000
1077,7.616470,1.626000
1078,7.623566,1.844000
1079,7.630658,1.334000
1080,7.637750,1.832000
1081,7.645430,1.714000
1082,7.652536,1.332000
1083,7.659637,2.004000
1084,7.666732,1.598000
1085,7.673823,1.390000
1086,7.680911,2.028000
1087,7.688012,1.522000
1088,7.695106,1.556000
1089,7.702192,2.010000
1090,7.709291,1.468000
1091,7.716388,1.756000
1092,7.723478,1.974000
1093,7.730568,1.462000
1094,7.737659,1.960000
1095,7.744756,1.924000
1096,7.751847,1.484000
1097,7.758936,2.120000
1098,7.766028,1.822000
1099,7.773119,1.524000
1100,7.780323,2.208000
1101,7.787457,1.734000
1102,7.794588,1.662000
1103,7.801684,2.174000
1104,7.808776,1.610000
1105,7.815873,1.770000
1106,7.822969,2.030000
1107,7.830060,1.450000
1108,7.837152,1.822000
1109,7.844243,1.818000
1110,7.851333,1.294000
1111,7.858426,1.836000
1112,7.865521,1.576000
1113,7.872612,1.186000
1114,7.879768,1.852000
1115,7.886899,1.404000
1116,7.893998,1.234000
1117,7.901093,1.832000
1118,7.908186,1.298000
1119,7.915283,1.382000
1120,7.922374,1.772000
1121,7.929466,1.226000
1122,7.936557,1.562000
1123,7.943655,1.714000
1124,7.950829,1.206000
1125,7.958093,1.758000
1126,7.966072,1.482000
1127,7.973244,1.206000
1128,7.980370,1.862000
1129,7.987478,1.368000
1130,7.994573,1.330000
